no,location_node,destination_node,location_lat,location_lon,destination_lat,destination_lon,time
65,42439826,42430333,40.739216,-73.999268,40.754543,-73.983856,2010/2/2 8:00
66,42439440,42445232,40.749931,-73.992073,40.769684,-73.962997,2010/2/2 8:00
67,42452809,42452809,40.785313,-73.956841,40.785938,-73.957314,2010/2/2 8:00
68,1698103410,106635804,40.773926,-73.870529,40.745235,-73.836861,2010/2/2 8:00
69,42443804,42430394,40.752148,-73.978508,40.765724,-73.976082,2010/2/2 8:00
70,42434074,42428305,40.755722,-73.977844,40.760468,-73.985626,2010/2/2 8:00
71,42449045,42439830,40.732201,-73.99411,40.740791,-73.999596,2010/2/2 8:00
72,42439440,1698103483,40.750374,-73.992386,40.774529,-73.872742,2010/2/2 8:00
73,42445653,42433620,40.749416,-73.978699,40.754143,-73.990303,2010/2/2 8:00
74,42429680,42445649,40.770798,-73.968132,40.751514,-73.982018,2010/2/2 8:00
75,596776041,596775951,40.773582,-73.961884,40.761341,-73.971962,2010/2/2 8:00
76,42429690,2831728347,40.767952,-73.96151,40.80481,-73.938972,2010/2/2 8:00
77,42450044,42444809,40.785316,-73.949432,40.784302,-73.958557,2010/2/2 8:00
78,42428020,42825551,40.771206,-73.950531,40.74728,-73.943535,2010/2/2 8:00
79,42436939,42428303,40.73349,-73.989815,40.759659,-73.985825,2010/2/2 8:00
80,42453610,42449341,40.720795,-73.981148,40.742657,-74.006767,2010/2/2 8:00
81,589100164,370893396,40.736973,-73.97435,40.719437,-73.977287,2010/2/2 8:00
82,371038821,42455695,40.760483,-73.962349,40.765491,-73.957039,2010/2/2 8:00
83,596776127,42444810,40.77734,-73.959297,40.78373,-73.957237,2010/2/2 8:00
84,42439826,42453104,40.739399,-73.999123,40.731991,-73.990479,2010/2/2 8:00
85,42439440,42435660,40.749252,-73.991074,40.755699,-73.989471,2010/2/2 8:00
86,42428645,42445930,40.781429,-73.981133,40.75959,-73.974731,2010/2/2 8:00
87,42439559,42445953,40.771717,-73.961327,40.764236,-73.970802,2010/2/2 8:00
88,42436052,42436340,40.719013,-74.010086,40.722572,-74.008217,2010/2/2 8:00
89,42448171,42429577,40.717628,-74.006042,40.715145,-74.013962,2010/2/2 8:00
90,42442534,42437222,40.794315,-73.97007,40.804485,-73.962723,2010/2/2 8:00
91,42446933,42435644,40.744503,-73.981071,40.751572,-73.992432,2010/2/2 8:00
