begin_node_id,end_node_id,FFTT
42519812,248607283,7.46017
42766934,42765242,4.405071602
42421783,42454313,2.64123
42867023,42807554,9.33465
2028361256,2028328023,11.4814
42422592,42428072,7.28454
42486083,465132522,8.378613957
370880758,42421946,13.13006123
42422086,42443116,18.8013
42766931,42762533,9.602221158
42427991,1733612459,45.19852592
42421960,42445569,8.27995
593921859,42455761,15.5329
42421974,42443305,8.265810524
42815805,42817412,20.3598028
42767053,42755256,8.87061
42815834,42815829,12.9008
42815829,42815824,11.0015
103886354,440243635,28.3262
42815824,42815820,11.0387
42815820,42815816,10.171
42815816,42815813,10.1709
42815813,42815810,13.1877
42815810,42815807,6.14941
42815807,42815805,8.97112
42422592,42422399,40.0306308
42422585,42422592,6.043090682
42422592,42422366,11.5211
42422592,42421778,11.68090168
42815770,42815764,9.70117
103879237,103869667,2.55613
42815764,42815755,9.25985
42471183,42487567,18.73972063
42422038,42438155,14.48349316
42815755,42815750,9.26569
42815750,42815748,9.73292
1533280148,2779131562,14.81422319
42421865,42443165,30.58226377
42429705,1544809885,13.79914033
42520827,42520825,14.2653
42422018,42438052,11.84128075
42864880,42864879,31.6577349
42422026,42437401,5.5456
42421852,42442584,14.5117
42421996,42438043,9.628466654
42520579,42527647,23.5931
541999391,42481645,9.48668
42422018,42437058,12.45461117
246894565,42429570,12.60956792
42422000,42437052,9.875236815
42469478,42537973,7.9349239
42520409,42531870,23.7426
42422366,42425188,5.95562
42421806,42442475,10.0446
42421769,42443347,10.65587303
42471048,42488527,14.74707876
42866526,42811451,9.213034191
42421820,42441569,10.11370581
42471615,42470439,11.33670428
541999541,42474811,35.2676
42471722,42467023,15.67131029
42469879,42524122,7.564534948
42422035,42434413,14.37607509
42469876,42524119,10.60074143
42421772,42442469,10.0284
42421993,42435312,9.836052761
42421778,42441587,6.44351
42421852,42438928,24.74899045
42436567,592484776,38.46245769
42421969,42435250,9.514456021
483605937,2408421325,5.468748661
42421877,42437949,9.40575
42436793,1692433932,24.9119
593216034,371034141,24.6041
42421882,42436856,26.50401959
42766989,42748414,13.9207
593921869,42443563,14.3014
42421820,42437312,9.530570094
42422016,42431044,8.47743
42421993,42431447,10.04330676
