begin_node,end_node_i,AADT
588593353,246899801,4347
42764835,42764839,17526
42764819,42764829,16467
42468747,42505383,5112
42764829,42763894,16467
561042204,42446959,25566
588593097,42433718,45854
561042197,42446949,7928
561042194,42446945,13727
561042193,42446941,10253
2141026551,42439878,23354
42861204,42920889,6303
2141026540,42439891,23354
2141026538,42439860,23354
2141026538,42439858,23354
42519238,42511349,1065
276203987,276204366,7015
276203987,276204325,7015
561042197,42445653,13727
561042188,42445903,13727
42518976,42518972,9355
561042194,42445653,13727
2141026510,42439858,23354
42520415,42474121,9355
42861164,42920894,11450
2141026504,42439851,23354
471243875,42747190,5522
2141026501,42439861,18326
2141026498,42439851,23354
42519812,42492409,12140
2141026493,42439868,23354
371231343,371225085,2271
42469395,42482032,9378
42733678,595801192,99020
482655346,42884818,4501
561042204,42443804,13629
2141026544,42437211,23354
2141026538,42435802,10988
42768534,2912071211,14218
2141026515,42436003,23354
1258945651,278632502,1035
2141026505,42435858,13409
371231224,371225132,176420
371239960,1369722086,20464
2141026493,42435810,13409
42430594,246580466,7457
42469640,42470387,3377
103877570,103855864,104196
42764839,42756130,16467
42518571,42526050,9072
42424098,371037281,30915
42912767,42888656,14556
42764849,42755148,1945
277481749,277481750,85839
2141026500,42433743,23354
42469612,42469606,10652
42812173,42860206,48141
301546017,1293095295,84433
2141026510,42432905,23354
2141026504,42432900,23354
889585049,42427412,45854
42448338,596775951,7068
42448338,596775919,32082
2141026544,42431207,10988
42765242,42741098,5211
296933787,103857853,84433
42518710,42518716,2587
42519223,42502645,4909
42427504,1544809889,31013
42469624,42467033,12887
277136465,42815933,1363
2141026551,42429536,23354
103876754,103876732,104196
371034153,371037077,100896
2141026510,42429732,20239
2141026515,42429536,23354
2141026504,42429732,23354
42861216,42908871,4066
561042193,42434951,39616
589100393,42423774,134223
42469475,42469478,9378
42469472,42469475,9378
42448216,596776127,12575
42448216,596776120,12575
42520210,42469118,9355
476241458,599270645,14858
277481542,277481814,76952
561042200,42432444,1500
42911782,42911763,4857
2216963516,42433870,4903
42519202,42498552,4909
42911763,42911782,4857
42861196,42906428,3112
42469391,42469395,15917
42469389,42469382,10652
42518739,42512120,7594
42518588,42516389,5749
277481423,277482762,85839
1258945357,278630368,2708
277481436,277481749,85839
589100267,42422509,134223
42446182,2799368116,13727
103876893,103864941,104119
42469212,42469214,10376
486868873,486867490,22656
42427828,246650510,76710
2481865390,1773063789,25209
103237100,103245957,2000
42811451,42866518,5489
42810967,42880853,9472
42844301,276203987,17109
42467463,42518580,8867
486819535,486819536,136425
42423579,371034158,26526
103876555,103867934,3000
308693080,308679528,104119
308693078,308679524,104196
42423565,371034153,72768
42763894,42764835,17526
42518972,42492540,2202
42467848,42502968,4365
2447703173,42874679,9338
42811446,42861252,5489
103867019,752178858,84433
42519271,42480534,11381
42467919,42498514,37662
42427494,246650840,4475
103875882,103882339,84433
451020319,451018391,136343
276067533,42899921,109733
42519258,42478109,2139
595314120,595314119,6981
370927297,42452882,20669
42468453,42479028,6510
42468449,42479021,10979
42431363,595703314,2696
486868138,486876059,3395
42518580,42496521,12144
42519216,42476721,2353
595314036,595314040,8817
451018391,451074820,136343
42809790,42904563,7880
42444353,279151954,4347
42811340,42855098,5349
2447703173,42864879,9338
593301322,593216034,10215
42467403,42504433,3347
42860617,42896831,4853
42447230,596776032,7891
246890579,42453442,58373
42517597,42519216,1748
42466950,42516250,9585
42861190,42876764,11450
42447166,596776260,12885
1657671821,42764835,16467
42517603,42517600,10755
42517600,42517597,4909
2837053797,2318033748,104196
42437928,2481877067,13041
42466491,42527868,3377
42860179,42906104,48141
42447105,596776089,12575
42809536,42902909,16980
103875882,103866383,84433
42439454,1061531707,9729
593973910,358448394,20693
42517465,42517467,4909
277768073,2089937994,38415
103875777,103867019,84433
42466266,42529939,2949
42910603,42910593,13387
42466440,42523094,4876
42860012,42904433,9093
100659881,277481443,76952
2447703182,42849658,7424
595757814,60921026,20929
42437670,593915305,14133
530754330,103132818,276476
42445037,2698702581,30546
42859957,42904454,4857
42433281,1692433942,4604
246890579,42440527,58373
42859920,42904507,36317
482640607,482640620,11845
42443156,595314036,8817
42860618,42880331,4853
482640620,482639370,11845
42435636,593973910,5242
42432438,561042200,1500
596271291,471243699,109599
278642254,486819531,136425
42517097,42517094,8720
248709733,248709714,4903
42517087,42517081,8720
248709714,248709733,4903
42836513,1904847201,36317
42467919,42467912,5372
486867548,486867605,45397
42441777,595352927,2268
42467929,42466383,2362
42810501,42856569,7734
486867605,486864444,84543
42517467,42502653,6163
42467848,42467844,7996
62915527,42453555,102523
246890279,42440918,58373
486867405,486868873,1470
597328332,597328336,161996
486867432,486867405,45397
42467912,42464292,5372
248709587,248709390,80
42446461,596776078,12575
42446461,596776041,12575
42438862,1061531695,19436
42762533,42766934,2351
246890279,42438060,58373
42437580,2481865390,37101
42517476,42497788,35578
42517021,42511729,13460
42467033,42488442,3995
42517465,42497773,4909
42431099,587812578,9729
42517910,42483640,4909
42861252,42849847,5489
246890279,42436024,58373
103882084,440243651,104196
248709390,248709587,80
42466412,42504046,10652
451068157,451068180,48380
451068154,451068157,3347
42466438,42502404,4876
451068180,451066683,40641
482652239,42909624,23648
62915536,42443549,102523
62915531,42443549,102523
42467081,42481677,14015
62915525,42443570,102523
42429211,595729841,23702
482640607,482623180,11845
42446155,596776546,13727
42467396,42469876,4272
42446138,596776201,13727
62915536,42440253,102523
42466454,42497788,4876
42446099,596776166,13727
42446086,596776260,21188
42860618,42860617,6142
42860617,42860618,6142
42446070,596776177,13727
595352904,561035372,23606
482640649,482617546,11845
42860563,42860570,8000
42446021,596776089,13727
62915525,42437379,102523
42446013,596776041,13727
103874255,103883742,84433
42884818,279609722,4501
42445972,596776032,13727
42445961,596775985,13727
103160730,103111281,10000
103861405,1112485531,84433
42509264,42474126,6229
42424334,825418517,80000
42465871,42465874,141821
103873764,103873766,84433
482639370,482640649,11845
1061531839,42431034,21073
1061531707,42439464,9729
42445926,596775882,13727
42445936,596775919,13727
42445950,596775946,13727
42445928,596775870,13727
42807818,42919829,36317
42445930,596775914,13727
42810494,42833309,6460
471241911,42724759,3495
276065579,42909624,23648
598228721,42488516,10404
42445817,596776349,12575
103868835,60007644,84433
42517600,42476725,1748
42860230,42860227,48141
276299053,276315696,44215
482539630,2446054619,31553
1061531603,42442480,19436
276299131,276314184,44215
42467023,42469612,123631
42466506,42486350,3577
42467024,42469614,13460
42860233,42860230,48141
1061531509,42443310,30107
1293095295,103859189,84433
42861322,42828372,5489
1061531491,42442432,18854
42445733,596776103,13727
373867810,42467403,3347
1061531757,42428634,21073
1061531815,42428746,18593
42860184,42860179,48141
42517036,42488429,13460
1061531454,42442463,12468
42860206,42860202,48141
42517081,42486735,4960
42860202,42860194,48141
42465236,42521125,3377
42810468,42826957,13965
1061531790,42431089,21073
42457788,247223720,15122
42910092,42885762,6142
42860164,42860161,48141
42860170,42860167,48141
1112485531,103886478,84433
42763131,42719445,6863
1061531790,42428709,21073
1061531731,42431067,21073
1061531815,42428737,18593
42810972,42810967,9472
42908517,42932492,6297
1061531807,42428711,21073
42810477,42826048,30665
2054405674,2054405601,8000
598227919,42502712,4590
1061531790,42428701,21073
103874255,103869921,84433
2025209406,2025209370,23255
2054405684,2054405674,2500
1061531768,42428689,21073
1061531645,42421775,21073
42424395,587988392,22156
1061531695,42428065,21073
42466514,42475959,9673
1061531730,42428725,18593
276299309,276299310,38415
1061531731,42428701,21073
1061531645,42431024,21073
1061531730,42428720,18593
1061531731,42428689,21073
42464848,1258875489,48337
42860017,42860012,9093
1061531631,42431108,12573
1061531707,42428590,9729
276299282,276298577,38415
42859209,42884832,3233
1061531695,42428645,21073
42517603,42461394,1748
1061531637,42428682,21073
1061531575,42431118,12573
1112485544,103880448,84433
103873768,103881214,84433
42859957,42859942,4857
1061531645,42428661,21073
476025435,1895628122,1434
1061531608,42428601,30107
1061531550,42431030,21073
1061531634,42428640,21073
1061531631,42428725,18593
1061531839,42421809,21073
42466401,42476648,9876
42466398,42476648,9876
103873766,103873768,84433
42861161,42818588,11450
42908259,42932921,6396
1061531504,42431102,12573
42465738,42496115,8470
42464848,42523691,2949
2912071217,42768516,14218
1061531527,42429999,30107
42427494,246580466,4475
370897167,589100711,26333
607920363,42446424,84543
2912071211,42768535,1781
1061531768,42422016,21073
42439191,589100711,3887
1061531550,42428661,21073
1061531454,42431019,21073
1061531654,42421741,11640
42431187,561035334,11640
42908962,42908954,582
1061531504,42428720,18593
1061531717,42421749,18593
42445230,596776009,40667
1934650086,2447553689,156598
276299054,276299053,44215
1061531654,42421749,18593
42908922,42908916,9423
42516250,42499172,5713
42466306,2312641457,7413
1061531454,42428065,21073
1061531447,42428583,30107
42908916,42908911,9423
42465874,42465878,141821
42466249,42466244,3377
42810479,42810477,30665
42466499,42466496,4876
42466512,42466510,9673
42466517,42466514,9673
60007332,1381944089,276476
42517094,42471595,8720
42466513,42466512,9673
42466514,42466513,9673
42516389,42493251,7594
42466500,42466499,4876
42466506,42466503,3577
42466510,42466508,3577
42466508,42466506,3577
42466196,42475971,30579
42466503,42466502,4876
42466502,42466500,4876
42810491,42810479,11450
276065908,42874694,9338
42466492,42466491,3377
42466496,42466495,4876
42466495,42466492,4876
42466468,42466454,35578
42466491,42466481,3377
42466481,42466468,4876
42466383,42467919,5372
42466447,42466440,7413
482652239,42874694,23648
42466454,42466447,4876
1061531550,42421809,21073
42809955,42827615,5703
42466440,42466438,14412
42466249,42466259,3377
598228039,42480537,40641
103873526,103876555,3000
1061531509,42421972,30107
42516043,42500683,6448
42466405,42466401,9876
42466389,42466395,2141
103878112,2735660226,104196
42466395,42466398,9876
42761233,42761235,11849
1112485711,103861407,84433
42466376,42466378,2362
1061531454,42421775,21073
42761235,42761237,11849
42761245,42761249,1139
42861200,42808193,10000
42437305,1061531550,19436
2807666064,42885397,9390
42466290,42466299,35578
42466299,42466306,7413
42856797,1064257420,28808
42466282,42466273,3817
42466290,42466282,35578
42466282,42466290,35578
103873489,103873490,84433
42466266,42466273,3377
42466273,42466282,3817
42466273,42466266,3377
42466259,42466249,3377
42466266,42466259,3377
42466259,42466266,3377
42465878,42465881,141821
277385050,42866377,5739
42429394,595682316,5205
42441299,595314120,8817
42466239,42466244,2949
42466244,42466249,3377
42466244,42466239,2949
42466234,42466227,1065
42466239,42466234,1065
42466234,42466239,1065
42466209,42466204,3577
42466219,42466227,1065
42466227,42466234,1065
42466227,42466219,1065
42466214,42466209,3577
42466219,42466214,1065
42466214,42466219,1065
42761088,42761092,1851
42466191,42466189,9288
42466202,42466200,3462
42466204,42466202,3577
42860194,42835415,48141
42466192,42466191,9288
42466200,42466196,9673
42466196,42466192,9673
42466179,42466172,3913
42466186,42466184,9288
42466189,42466188,9288
42466188,42466186,9288
42466180,42466179,3913
42466184,42466183,11755
42466183,42466180,3913
42911782,593300772,4857
42465233,42491625,43519
597444023,106100961,48202
1064257394,42846335,34182
42761082,42761088,1851
42761006,42763131,3495
276065579,42874694,9338
276298606,276299309,38415
42466172,42465649,3913
42465234,42491625,43519
42515829,42497780,19430
42515844,42497624,3377
561042202,100522731,6056
42757938,2025188866,3344
42808179,42872060,6000
2757013684,42860247,48141
42465893,42465899,141821
42427242,1584024995,3806
42464934,42500051,7140
103873490,103866947,84433
598227835,42478164,2255
42760885,42760889,14218
598227849,42476753,6070
295516882,295517111,104196
449616592,598248807,48380
2569923500,42453398,58373
42514918,42520415,9355
405984035,42450656,114831
42465899,42465906,141821
42465926,42465770,8470
42465906,42465738,141821
42428922,561035357,22921
42465265,42465263,8911
42809589,42809585,12667
42858918,42858920,12900
276032821,371034162,25651
42480088,1692483438,7267
42444487,596776173,13727
42515023,42515022,4272
42505420,598033003,5788
42465852,42465857,5734
42909624,42864880,1048
42761249,42745890,10000
42808195,42861204,6303
449618008,598202939,136343
42514454,42531627,12132
276065579,42864879,582
42761340,42741118,6989
276318043,42901546,78630
42909564,42864781,31107
42858920,42858924,12900
589298625,42450645,100896
42761092,42748183,13771
42807755,42874655,9093
42465857,42463398,141821
42858980,42858987,188991
42858987,42858990,4465
42761237,42743425,10000
42858924,42858925,12900
42858939,42858943,11615
42465728,42465893,141821
42858943,42858947,11615
42809781,42809784,7091
42809787,42809790,10728
42809784,42809787,31107
42809593,42809589,12667
42809642,42809639,12667
42859976,42825307,41124
42858907,42858910,12900
42858913,42858918,12900
42858910,42858913,12900
42860167,42819392,48141
42464827,42492210,2708
42858898,42858903,12369
42809645,42809642,12667
277386523,42802987,161996
42464538,42500039,10652
42465257,42477241,13362
42809649,42809645,12667
42465279,42475977,3462
42809660,42809649,12667
42809596,42809593,12667
42809627,42809624,12667
42809639,42809637,12667
2757013712,42842881,48141
276067533,42795952,34953
42809630,42809627,12667
42809637,42809632,12667
42809632,42809630,12667
42809599,42809596,12667
42809618,42809615,12667
42809624,42809622,12667
42809622,42809618,12667
42909227,42866903,9659
42809615,42809611,12667
42809602,42809599,12667
42465267,42465265,13362
103879734,440243679,104196
2141026493,2141026501,23354
42809560,42809554,2835
42809579,42809568,21091
42809585,42809582,12667
42809582,42809579,11199
103872293,103886410,104119
42516187,42467396,4272
42809568,42809560,21091
2408421436,481404934,147525
2141026501,2141026493,23354
405984035,42436716,20669
42809554,42809551,21091
42910163,42836198,2650
42809551,42809549,21091
42761265,42733534,14218
370924677,42424183,6405
339044224,42436393,11741
42809539,42809536,21091
42809543,42809539,21091
42761241,42733958,1139
42428374,1506902240,726
42856569,42923767,1363
42760889,42744118,1851
593915267,42452975,1780
42514554,42514549,9355
42809549,42807081,21091
42463398,42527617,141821
42908962,42869967,582
42807836,42859957,10233
42807818,42859920,4201
42465270,42465267,13362
42514454,42514451,6448
42807752,42860012,9093
42465343,42465340,5734
42465349,42465343,13221
42807554,42867023,13965
42859942,42815107,10233
42465340,42465336,5734
42465336,42465332,13221
42465305,42465301,13362
42465312,42465309,13362
42465318,42465315,8777
42465315,42465312,3913
42437826,589100711,26333
103872547,103872546,104196
42465309,42465305,13362
42465273,42465270,13362
595245925,1672106382,104119
42465298,42465296,9288
42465301,42465298,13362
42514451,42514448,6448
42465292,42465288,13362
42465296,42465294,9288
42465294,42465292,13362
589298803,42429981,30915
42465284,42465281,13362
42465288,42465284,13362
595245920,1672106382,104119
42465276,42465273,13362
42465281,42465279,3462
42465279,42465276,3462
42428922,561035359,22921
1773082410,1918039898,2069
42858947,42836292,12900
593915295,42446678,71530
42465250,42465246,13362
42465260,42465257,13362
42465263,42465262,1065
42465262,42465260,13362
42465253,42465250,13362
42465257,42465253,13362
42514447,42513157,37662
42908901,42866622,3408
42465238,42465236,13362
42465246,42465238,13362
42514559,42509228,4533
42858934,42843178,12900
42428080,60918583,23682
597261862,42513166,33250
106074992,276235958,123983
486864458,486873300,5112
42430233,1692433942,32423
42514188,42519258,1399
247085079,247081122,104196
42430187,1692433938,32423
42908517,42876795,3408
42858334,42858980,12900
42464419,42484216,13397
42910092,42825302,41124
42797312,106090514,115700
42859920,42807818,4201
106717940,588178801,5122
1064257426,42809781,28808
486864458,486871373,83933
103879149,440244523,84433
2569923492,42422026,58373
103872510,103863417,104196
589298584,42427965,26765
593915202,42443977,4936
42443612,596775951,13727
42877708,482655346,23590
42897099,279155134,10516
422438821,42455662,18753
42464938,42464936,13165
42515018,42486265,19728
246887345,42440850,37101
246887345,42440847,3799
42793624,276069438,10215
42515011,42486239,14921
42464955,42464953,13165
277385119,42820847,910
371247627,593909400,16943
597325450,597325461,10476
42464936,42464934,5139
593915305,42437670,14133
42844233,2799469682,33568
247227450,561950065,4477
42844233,2799469684,8708
246887345,42436088,37101
42908540,42866384,5739
42808177,42832467,11952
103872546,103858344,104196
42464273,42482403,6092
42464852,42464848,52508
42514974,42483561,11381
42428928,561035359,22921
42464580,42464586,4272
42464292,42476636,9274
42514274,42502705,4590
42504249,598035431,7547
2831728347,42444453,12575
42464621,42470434,13460
42910339,42808179,6000
595703304,595703303,2500
595703303,595703309,2500
593915293,42430629,16943
595703269,595703283,3801
42464589,42469879,4926
589298326,42428013,26765
593915305,42430629,16943
593915211,42433644,9867
593915305,42430639,14133
42858888,42823995,31107
42424610,825418517,11741
593915255,42430651,23833
593915274,42430639,16943
1919595921,1919595912,30331
42846208,106133540,23648
593915255,42430643,16943
1919595912,1919595923,30331
370922849,42455929,20669
589298178,42428014,26765
2831728346,42438772,12575
2757013720,42812173,48141
42759497,42759500,7752
42464542,42466412,10652
42464586,42464589,4272
42428934,561035363,22921
42428970,561035378,23606
42515022,42471130,4272
42464570,42464576,48380
42464576,42464580,4272
42514448,42491236,12132
42434427,2779131560,14422
440244527,103880198,104196
42461379,248606828,42753
42858925,42817940,12900
587988392,825418517,10000
752196193,103868781,4475
42514854,42475764,3683
42808170,42818487,11450
42514974,42471048,2637
42908911,42841786,9423
42428939,561035363,22921
42428951,561035367,22921
42428964,561035376,23606
42428966,561035378,23606
42428966,561035376,23606
42428951,561035369,22921
42428962,561035372,23606
42428956,561035369,11050
42428939,561035365,22921
42428944,561035365,22921
597261862,42486600,10014
42428944,561035367,22921
42858972,42815354,12900
42908947,42839112,9093
276317706,42867013,78630
42900660,42923772,36317
1782672705,1782672710,3305
246580982,42445769,70833
42806613,42846269,1487
1692450029,42439178,4078
731930674,1396367334,156598
42428892,561035351,22921
42428917,561035355,22921
42423307,370892861,7388
42428917,561035357,22921
42858903,42816102,7880
42513496,42514188,1399
42428912,561035351,22921
42428840,561035338,19753
42513150,42523216,37662
42428880,561035348,22921
42513726,42505492,11637
42464297,42464292,37662
42514188,42490577,1399
42759500,42750201,7752
597324677,597324662,161996
597324663,597328332,161996
42463651,42483401,11381
276318048,42852827,6000
42428814,561035334,19753
42428799,561035332,19753
42435250,1061531509,30107
42428799,561035334,19753
42856563,42883002,7734
277029719,42809660,12667
42428782,561035332,10000
42428782,561035330,19753
1934649966,2807666064,107828
42759246,42756052,6989
42423296,370888100,1799
597294550,277385120,17873
42759735,42734886,20116
42858955,42806613,12900
42856521,42882973,7734
561950065,42431280,15122
2348688907,42456084,21188
597324661,597324663,161996
597324662,597324661,161996
42808193,42808195,11450
42908954,42827952,582
2569923500,246866798,58373
42808162,42808170,157316
42807841,42817812,7188
42906428,42906425,3112
2569923492,246866798,58373
277385050,42799103,70110
42513634,42494193,16816
106133540,106090514,115700
42807554,42824080,6000
42758642,42768534,14218
42807567,42824096,30701
1775270664,42432068,30331
42513154,42513150,37662
42513157,42512085,21189
42463657,42471046,11381
483598102,2408421138,155066
42513012,42516187,4272
559862621,763020156,11741
42429986,589298803,7141
42426374,595703226,18753
42908871,42825957,4066
2757013562,2757013588,49745
370880739,370880749,45854
42432706,593921856,6429
370870741,42469214,11246
370870741,42471291,11246
440243697,103882084,104196
597500970,42917872,36317
1692483438,480217241,6092
42908881,42818468,10848
440243666,103879734,104196
103865598,2404083356,104196
42513166,42500696,2993
42514274,42467417,40641
402480678,42454325,70833
42512070,42532947,9274
1834852948,42436911,18753
1946814074,42427915,24630
1733614298,42442422,18854
1506902240,42436192,7914
42906419,42889760,3112
42855364,42900239,671
42906413,42890454,3112
2439667846,276067533,34953
42855339,42900269,4857
42461448,42527665,5256
42825919,2034007426,10215
42513157,42496867,21189
103235642,103111330,10000
1927807845,42841770,6000
42825925,2034007426,18004
42512479,42517465,4909
370880749,370880759,45854
2757013588,2757013603,49745
42856566,42856563,7734
42856620,42856632,11659
2799547042,42826070,13627
42908847,42812008,4066
370880734,370880761,45854
