begin_node,end_node_i,Other_Volume
42429577,42446800,119556
62915525,42443570,119276
402480678,42454325,119023
103881214,296933787,118890
595245860,595245925,118494
103864243,103858840,118044
246580736,246580301,117800
247124101,247123611,117117
42454325,402480678,116481
103207076,103175945,116239
103150196,103207076,116238
42825301,597311311,116234
42449689,106705774,115751
42450814,42449691,115361
42431635,42431630,114331
42836338,42910339,113625
42426011,42425747,113585
593915295,42446678,113362
103863130,293348993,112957
591454081,42454642,112810
42422899,42449689,112700
1934649966,2807666064,112519
481404934,476241555,111387
42452310,42452314,111263
246866798,42436192,111010
246909446,246909451,110260
246866828,42431630,108834
2569923492,2569923500,108744
599270650,599270652,108675
42446640,42446632,108624
277481814,42423206,108570
103881056,103881060,107783
42478277,598227894,107253
2799547029,106710490,106975
42431630,42446825,106885
42425681,42426011,106247
593915303,247081122,106094
607920363,42446424,105738
277385050,42799103,105697
440244523,752196194,105357
42471291,42497724,104846
42429570,42429577,104808
598227894,598227963,104783
42424142,42424145,104507
42436056,42445711,103882
42788904,106127689,103470
42424521,42436178,103288
42423206,1044184577,103012
42502712,42478277,102692
2569923492,246866798,102414
103869216,103861215,102315
42446800,42429577,102165
42453398,2569923500,102061
42430673,42437379,101911
246580301,42437915,101110
42803880,597443992,100832
103861407,103881056,100694
42807755,597443954,99958
42451370,246909451,99645
42465332,602890392,99544
42440639,42437401,98829
42440253,62915536,98673
598227980,451066683,98385
486864458,486871373,98343
103880446,103880448,97999
42492401,380059967,97540
293348993,293348991,97406
277481542,277481814,96694
276314184,276314230,96370
42446825,42446800,95840
42438304,42437845,95306
598227963,598227980,95119
246909451,246913431,94455
246890579,42440527,94452
2569923492,42422026,94368
370880731,246909446,93622
42445291,42446825,93046
598227963,598228039,92744
276320152,593216431,92475
42436316,42440918,92316
247081122,246650510,92307
42898888,276299163,91752
42799103,277385050,91486
42432548,42450814,91387
598290960,42465660,91367
42429570,42429565,91149
42440918,246890279,90945
106122928,482709360,90906
486819531,42461379,90699
293348991,301546019,89972
42445382,42445378,89729
42453555,42430688,89509
246866798,2569923500,89380
42444514,373850921,89280
276299131,276314184,89246
42450809,42432548,89233
1775176474,42424098,88937
588036489,451028274,88881
42431630,246866828,88558
42464848,1258875489,88550
42429577,42429570,88546
42428080,595484165,88455
598291100,598290960,88385
100662030,277481765,88310
42432867,42423564,88256
1258875635,1258875665,88165
371337150,42444514,87413
598228119,598228127,87389
42445291,42429633,86947
42471130,42464570,85946
42464570,42464576,85774
42917565,42898888,85569
246913431,42446640,85530
42445286,42429633,85406
246866798,588593611,85372
42486083,465132522,85196
42866500,42825558,84543
598228127,373864855,84407
42835551,42835569,84206
42453417,42445711,83945
42459436,42453472,83623
296933787,103857853,83621
597444023,106100961,83115
42429570,42453395,83044
42428433,42440820,82947
598228148,598228127,82804
42444242,42444230,82424
42436578,42448693,82150
42434951,561042193,81110
62915525,42437379,80816
42443570,62915525,80701
42453395,42453398,80607
1773076513,42437605,79939
42423565,371034153,79346
42453555,42443570,79230
2757013616,2757013627,78525
42442949,42442948,78481
42429521,42433715,78457
42439236,42445558,77978
1258875489,1258875373,77879
42431680,42449991,77758
42442939,42449947,77547
598228143,598228148,77529
1775260897,1775260905,77422
42444055,42442947,77386
42446800,42446849,77371
42443549,42453555,77225
42442891,42449906,77005
42442961,42423565,76866
276299163,597414711,76719
42445369,42434951,76248
593886252,42442918,75856
465132522,42519202,75839
246906179,588720448,75312
1044184577,277481423,75221
42437283,42437287,74950
486867605,486864444,74887
42429754,486867432,74852
42434954,42434951,74800
277481423,277482762,74757
42442918,1930487416,74528
246890279,42436024,74518
592627492,486864458,74508
103877791,103879821,74170
42445711,42436316,74156
42435550,42435553,74103
42436486,42438800,73910
42445174,42445171,73840
42440829,42430135,73694
42429570,42453406,73562
42453406,246866830,73419
42464852,42464848,73151
42428049,42428047,73002
42467417,598227894,72992
42459636,42442939,72968
42505383,42514918,72759
42437605,1773076513,72701
42431635,42445291,72615
42453395,2569923492,72550
42917872,597500970,72375
42472268,42499996,72126
42430677,62915525,71530
42470396,42474962,71060
246890279,42438060,71049
42437428,596776017,70924
42442881,42449893,70871
593300772,42820840,70740
42440815,42427316,70476
276317706,42867013,70397
276299179,42898891,70070
42436024,42445174,69963
277029610,277029719,69649
373867810,449658617,69600
42445666,42442933,69594
42437401,246866798,69523
42428045,42428043,69472
1369722087,42423170,69467
42430068,42430063,69390
595105496,42438894,69109
42436486,42436484,68868
42442948,42434090,68746
42440798,42429637,68667
277787301,2089937906,68534
2698702581,42435714,68498
277630003,2089937932,68481
42432458,42432451,68069
42426089,42440838,67958
2439667846,276067533,67840
42437379,62915525,67813
42440810,42427316,67587
42430485,42438971,67350
42427316,42440810,67114
42823483,42823482,67070
42917418,277787301,67063
42429636,42453691,66850
103881060,103881940,66794
42436919,42436921,66569
42431452,42428493,66449
42445037,2698702581,66429
246890579,42453442,66403
597294483,42825308,66312
42827962,42879504,66257
42428047,42428045,66243
246894565,42429570,66013
246866828,42453417,65765
42443000,42449991,65608
373903786,42453379,65605
42802543,2292637623,65578
42492409,42469212,65541
103857853,103883766,65499
2089937906,277787304,65385
598227836,598227835,65315
42432548,595105531,65275
42427311,42440810,65184
486867548,486867605,65111
42832523,277388572,64892
42442983,42447235,64812
2089937932,42917418,64796
449658617,598227836,64756
42428433,42440815,64705
2708237394,42817773,64629
42430295,42428234,64065
596776009,42429688,63940
42437021,42428170,63658
246912427,42511260,63533
42452610,42452613,63372
42511260,373867810,63305
42487552,42470396,63089
42437358,42430333,63042
42449947,42449948,63010
42443009,42445236,62957
42428601,42443326,62863
42846208,42827962,62788
42437401,42422026,62656
42442913,42449928,62628
42453417,42436052,62623
42430288,42428227,62378
42450434,42445033,62231
486867432,486867405,62094
276314230,276299179,61802
42532193,598043789,61782
42803880,2439667846,61757
42436756,42436754,61753
42428583,1061531447,61741
42436519,42449982,61616
42433272,42432201,61542
42429633,42445286,61351
595484165,1858067878,61252
42440737,42440729,61216
42459493,42453398,61205
596776017,42437428,61182
42453379,42427393,61108
42439561,42439563,61028
42823909,42788904,61001
42432451,42449945,60734
42437445,42437436,60673
42437371,42434439,60506
42421882,42436856,60489
42832525,42832523,60453
42448390,42442959,60400
597727992,597728152,60247
42428329,42435714,60141
482709360,597444022,60105
42440323,42453310,60103
42436527,42436519,60045
596271288,596271291,59922
42465233,42491625,59874
42437992,42437990,59855
42435680,42428305,59718
42430075,42430068,59711
598227849,598227919,59629
205008848,2481865390,59419
561042188,42449308,59311
42438800,42439561,59297
42795952,42877708,59214
42439561,42430063,59138
42445916,42445917,59013
42474962,42533517,58899
42446986,42434085,58846
42833185,42826038,58710
483584559,482623880,58684
42442943,42453000,58638
42445236,42436486,58627
596776009,42455694,58597
42455694,596776017,58590
1775260905,205008848,58553
42434962,42434959,58450
42465881,598308332,58430
42439981,42435668,58427
42451402,370880759,58411
42450009,42446472,58303
42440527,42448568,58128
42449991,42429690,57970
42429690,42429693,57921
276067533,42795952,57901
42424098,371037281,57863
2569923500,42453398,57790
42429690,42445236,57749
42440838,42426089,57684
42446363,42445027,57639
42432464,42442935,57630
100662028,277481542,57489
42439563,42439567,57472
42436489,42436492,57427
42432834,596775941,57394
42424605,373850911,57330
541999373,1259822816,57318
42428005,42428003,57298
42788904,106122928,57251
42455695,42443000,57244
42932888,42932884,57098
42429981,42429980,57073
42445247,42443009,56958
481250022,599270645,56909
2087152354,276060683,56878
42491616,42465233,56869
42442947,42444051,56791
277388572,277385119,56752
42429708,42429707,56692
42434087,42434090,56517
42443804,42443806,56474
42428015,42428016,56258
42445230,596776009,56074
1544809889,1399181886,56006
1258875665,42464621,55986
561042193,42434951,55960
